,Posemo,Negemo,Work,Date,Status_id,length_messages
347,1.0,,1.0,2016-03-12 13:31:07,261858613983318_554078701427973,14
348,3.0,3.0,4.0,2016-03-12 13:30:51,261858613983318_554078614761315,142
349,1.0,,,2016-03-12 13:25:45,261858613983318_554075401428303,23
350,1.0,,1.0,2016-03-12 13:25:34,261858613983318_554074461428397,26
351,1.0,,,2016-03-12 13:25:23,261858613983318_554074091428434,8
352,1.0,6.0,7.0,2016-03-12 13:25:09,261858613983318_554073931428450,105
353,,1.0,1.0,2016-03-12 13:24:56,261858613983318_554073884761788,13
354,,,,2016-03-10 19:42:05,261858613983318_553312314837945,8
355,2.0,2.0,1.0,2016-03-10 19:41:52,261858613983318_553312284837948,64
356,1.0,2.0,,2016-03-10 19:41:38,261858613983318_553312248171285,42
357,5.0,2.0,1.0,2016-03-10 19:41:19,261858613983318_553312218171288,40
358,3.0,,2.0,2016-03-10 19:40:54,261858613983318_553312148171295,61
359,3.0,3.0,,2016-03-10 11:11:06,261858613983318_553171938185316,115
360,16.0,2.0,,2016-03-10 11:10:40,261858613983318_553171838185326,181
361,1.0,,,2016-03-10 11:10:26,261858613983318_553171761518667,6
362,,,,2016-03-10 11:10:12,261858613983318_553171714852005,17
363,1.0,,,2016-03-10 11:09:59,261858613983318_553171651518678,16
